bank,date,novelty,n_added,dict_dh,dict_redline,rob_dh,rob_redline,rob_disp,r2,r5,r10,r30,src,alpha_r2,alpha_r5,alpha_r10,alpha_r30
ECB,2016-01-21,0.7659574468085106,36,0.0421225937183384,0.044444444444444425,-0.04311157923032799,-0.040872814612400055,0.7525819968667669,-1.0000000000000009,0.0,1.000000000000023,2.0000000000000018,daily,-0.5752404584160355,-0.6722932717456644,-0.24347986194842952,0.18655839860006396
FOMC,2016-01-27,0.5217391304347826,12,-0.027022946859903384,-0.05128205128205128,-0.09916609686647922,-0.16562918971486887,0.5744002465722688,-3.3699999999999894,-3.7600000000000002,-2.09999999999999,-1.44999999999999,usmpd,-1.1303047270802717,-1.255795334843603,-0.5802202678383147,0.17912943804096676
ECB,2016-03-10,0.8166666666666667,49,-0.04950354609929081,-0.057407407407407435,-0.059394574933019695,-0.08529183494234972,0.6514123716445328,3.0000000000000027,6.000000000000005,3.0000000000000027,2.0000000000000018,daily,-0.7817096122900937,-0.9101821010826927,-0.37057818961337574,0.17194994983419376
FOMC,2016-03-16,0.5,13,0.042781493868450385,0.08205128205128205,0.09458087339973102,0.15431971755332108,0.6033065837129421,-9.33,-10.440000000000001,-6.730000000000009,-1.54,usmpd,0.97409207530393,0.9996470949632681,0.758330919262543,0.33011973280939616
ECB,2016-04-21,0.7916666666666666,38,0.03416666666666668,0.039157894736842086,0.029503766591490926,0.02681765280205964,0.7278722251321056,1.9999999999999907,3.0000000000000027,2.9999999999999805,2.9999999999999805,daily,0.1604110250971063,0.11724390998762299,0.22102785848716025,0.23691990862737008
FOMC,2016-04-27,0.23076923076923073,6,-0.006410256410256405,-0.027777777777777735,-0.007722403442200557,-0.0334633049981979,0.598117904429598,1.1900000000000002,0.8099999999999901,-0.17999999999998,-0.87000000000001,usmpd,-0.2215919638083101,-0.28197220877431306,-0.0008745340350570507,0.23596577932683568
ECB,2016-06-02,0.7358490566037736,39,-0.006682389937106875,-0.00860985419808949,0.14758116179104916,0.19832204076615617,0.6683990971118444,-2.0000000000000018,-2.9999999999999805,-4.0000000000000036,-4.999999999999982,daily,1.467143283797517,1.5388372033639044,1.1162652960429482,0.45785066774245503
FOMC,2016-06-15,0.41666666666666663,10,-0.019764957264957257,-0.03749999999999999,-0.1267080272203039,-0.2469400114030577,0.5383019290456369,-5.2299999999999995,-4.35,-2.21999999999999,-0.37000000000002004,usmpd,-1.3796945992672618,-1.5463619748911723,-0.7553267098606737,0.14537041617504215
ECB,2016-07-21,0.6938775510204082,34,0.011359260685406214,0.01728586171310631,-0.05019884304002105,-0.06034934954817907,0.6696406752998082,-3.0000000000000027,-3.9999999999999813,-2.0000000000000018,-0.9999999999999787,daily,-0.632107051898238,-0.7177913612820519,-0.2652124876559213,0.20581019987634402
FOMC,2016-07-27,0.37037037037037035,10,0.030092592592592587,0.09523809523809523,0.1491402572558366,0.3159657140118985,0.5957921650791067,0.4,-0.65000000000001,-1.2,-1.19000000000002,usmpd,1.4347006567460003,1.5089017236446303,1.069892272886336,0.3813791326312764
